RegionID,Stock_Market,Mortgage_Rate,Monthly_Supply_Of_Homes,Median_Price_Range
394458,2292.97998,6.45,10.7,175k - 200k
395045,2292.97998,6.45,10.7,275k - 300k
395055,2292.97998,6.45,10.7,150k - 175k
394943,2292.97998,6.45,10.7,200k - 225k
394466,2292.97998,6.45,10.7,150k - 175k
394475,2292.97998,6.45,10.7,125k - 150k
394735,2292.97998,6.45,10.7,150k - 175k
394775,2292.97998,6.45,10.7,250k - 275k
394492,2292.97998,6.45,10.7,150k - 175k
394705,2292.97998,6.45,10.7,125k - 150k
395059,2292.97998,6.45,10.7,650k - 700k
394355,2292.97998,6.45,10.7,175k - 200k
395194,2292.97998,6.45,10.7,225k - 250k
394902,2292.97998,6.45,10.7,175k - 200k
395005,2292.97998,6.45,10.7,250k - 275k
394862,2292.97998,6.45,10.7,175k - 200k
394714,2292.97998,6.45,10.7,175k - 200k
394849,2292.97998,6.45,10.7,150k - 175k
394935,2292.97998,6.45,10.7,125k - 150k
394807,2292.97998,6.45,10.7,125k - 150k
394669,2292.97998,6.45,10.7,225k - 250k
395022,2292.97998,6.45,10.7,225k - 250k
394910,2292.97998,6.45,10.7,150k - 175k
394425,2292.97998,6.45,10.7,100k - 125k
395012,2292.97998,6.45,10.7,200k - 225k
394388,2292.97998,6.45,10.7,150k - 175k
395053,2292.97998,6.45,10.7,225k - 250k
395031,2292.97998,6.45,10.7,100k - 125k
394640,2292.97998,6.45,10.7,125k - 150k
395167,2292.97998,6.45,10.7,200k - 225k
753924,2292.97998,6.45,10.7,400k - 450
395169,2292.97998,6.45,10.7,125k - 150k
394619,2292.97998,6.45,10.7,225k - 250k
395238,2292.97998,6.45,10.7,225k - 250k
394415,2292.97998,6.45,10.7,450k - 500k
394312,2292.97998,6.45,10.7,175k - 200k
394308,2292.97998,6.45,10.7,150k - 175k
394938,2292.97998,6.45,10.7,125k - 150k
394908,2292.97998,6.45,10.7,250k - 275k
394357,2292.97998,6.45,10.7,200k - 225k
394753,2292.97998,6.45,10.7,125k - 150k
394653,2292.97998,6.45,10.7,150k - 175k
394952,2292.97998,6.45,10.7,450k - 500k
394318,2292.97998,6.45,10.7,200k - 225k
394561,2292.97998,6.45,10.7,125k - 150k
394367,2292.97998,6.45,10.7,150k - 175k
394521,2292.97998,6.45,10.7,125k - 150k
394486,2292.97998,6.45,10.7,125k - 150k
394648,2292.97998,6.45,10.7,125k - 150k
394304,2292.97998,6.45,10.7,125k - 150k
753906,2292.97998,6.45,10.7,225k - 250k
394798,2292.97998,6.45,10.7,125k - 150k
395134,2292.97998,6.45,10.7,225k - 250k
394457,2292.97998,6.45,10.7,200k - 225k
395143,2292.97998,6.45,10.7,125k - 150k
394484,2292.97998,6.45,10.7,200k - 225k
395235,2292.97998,6.45,10.7,125k - 150k
395224,2292.97998,6.45,10.7,100k - 125k
395115,2292.97998,6.45,10.7,175k - 200k
394440,2292.97998,6.45,10.7,200k - 225k
394399,2292.97998,6.45,10.7,175k - 200k
395160,2292.97998,6.45,10.7,100k - 125k
394816,2292.97998,6.45,10.7,200k - 225k
394766,2292.97998,6.45,10.7,150k - 175k
394931,2292.97998,6.45,10.7,175k - 200k
394528,2292.97998,6.45,10.7,175k - 200k
394531,2292.97998,6.45,10.7,150k - 175k
394711,2292.97998,6.45,10.7,125k - 150k
394352,2292.97998,6.45,10.7,125k - 150k
394666,2292.97998,6.45,10.7,150k - 175k
395006,2292.97998,6.45,10.7,200k - 225k
394549,2292.97998,6.45,10.7,200k - 225k
394995,2292.97998,6.45,10.7,175k - 200k
395183,2292.97998,6.45,10.7,300k - 350k
394746,2292.97998,6.45,10.7,125k - 150k
395048,2292.97998,6.45,10.7,200k - 225k
394927,2292.97998,6.45,10.7,125k - 150k
394602,2292.97998,6.45,10.7,200k - 225k
